RepRapFirmware height map file v2 generated at 2020-03-08 16:24, min error -0.183, max error 0.245, mean 0.062, deviation 0.119
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
70.00,270.00,70.00,270.00,-1.00,50.00,50.00,5,5
  0.090,  0.077,  0.067,  0.120,  0.158
  0.045,  0.058,  0.055,  0.108,  0.173
  0.125,  0.138,  0.145,  0.168,  0.245
  0.023,  0.062,  0.087,  0.133,  0.225
 -0.183, -0.145, -0.160, -0.147, -0.120
